tarih,yon,giris_fiyat,cikis_fiyat,marjin,pnl,pnl_net,pnl_gross,roe_pct,kapanis_sebebi,tetikleyici,komisyon,bakiye,entry_time,exit_time
2026-05-18 00:27:13,Long,96510.04,96703.06008,1000.0,14.000000000000298,14.000000000000298,28.0000000000003,2.80000000000003,Stop Loss,super_bot_proMax,14.0,10014.0,2026-05-18 00:27:12,2026-05-18 00:27:13
2026-05-18 00:27:15,Long,96632.13,96825.39426,1101.5400000000002,24.23387999999907,24.23387999999907,48.467759999999075,4.399999999999915,Stop Loss,super_bot_proMax,24.233880000000006,10038.233879999998,2026-05-18 00:27:14,2026-05-18 00:27:15
2026-05-18 00:27:17,Long,97016.01,98289.31,1204.5880655999997,321.3142700305627,321.3142700305627,347.81520747376265,28.87420334025288,Take Profit,super_bot_proMax,26.500937443199994,10359.548150030561,2026-05-18 00:27:16,2026-05-18 00:27:17
2026-05-18 00:27:44,Long,97877.01,98613.27,1346.741259503973,122.97386248291959,122.97386248291959,141.8282401159752,10.531216676929679,Take Profit,super_bot_proMax,18.85437763305562,10482.52201251348,2026-05-18 00:27:41,2026-05-18 00:27:44
2026-05-18 00:28:07,Long,97918.91,98270.37194095696,1467.553081751887,53.19942787482362,53.19942787482362,73.74517101935004,5.025042837381866,Stop Loss,super_bot_proMax,20.54574314452642,10535.721440388304,2026-05-18 00:28:06,2026-05-18 00:28:07
2026-05-18 00:28:12,Long,98275.0,99297.55,1580.358216058246,326.9914320349965,326.9914320349965,361.7593127882779,22.890969219028303,Take Profit,super_bot_proMax,34.76788075328141,10862.7128724233,2026-05-18 00:28:12,2026-05-18 00:28:12
2026-05-18 00:28:25,Long,99527.81,101051.34,1738.034059587728,547.075382822603,547.075382822603,585.312132133533,33.67667790540149,Take Profit,super_bot_proMax,38.23674931093002,11409.788255245905,2026-05-18 00:28:25,2026-05-18 00:28:25
2026-05-18 00:28:45,Short,101436.02,100677.15,1825.5661208393449,165.64775321500443,165.64775321500443,191.20567890675525,10.473774503376749,Take Profit,super_bot_proMax,25.557925691750828,11575.436008460909,2026-05-18 00:28:43,2026-05-18 00:28:45
2026-05-18 00:28:48,Short,100830.86,99831.42,1852.0697613537454,363.1260304666862,363.1260304666862,403.8715652164686,21.80649852634407,Take Profit,super_bot_proMax,40.7455347497824,11938.562038927595,2026-05-18 00:28:45,2026-05-18 00:28:48
2026-05-18 00:28:51,Short,98592.43,96636.93,1910.1699262284153,791.4826514773752,791.4826514773752,833.5063898544003,43.6351959273141,Take Profit,super_bot_proMax,42.02373837702514,12730.044690404971,2026-05-18 00:28:48,2026-05-18 00:28:51
2026-05-18 00:29:03,Short,96878.14,95421.6,2036.8071504647955,628.8943818550761,628.8943818550761,673.7041391653016,33.07648144359487,Take Profit,super_bot_proMax,44.80975731022551,13358.939072260047,2026-05-18 00:28:59,2026-05-18 00:29:03
2026-05-18 00:29:07,Short,95992.7,95800.71459999999,2137.4302515616077,47.02346553435784,47.02346553435784,94.0469310687132,4.400000000000116,Stop Loss,super_bot_proMax,47.02346553435537,13405.962537794407,2026-05-18 00:29:05,2026-05-18 00:29:07
2026-05-18 00:29:08,Short,95961.02,94552.04,2144.954006047105,645.6792254362441,645.6792254362441,692.8682135692804,32.302241055795605,Take Profit,super_bot_proMax,47.188988133036304,14051.641763230651,2026-05-18 00:29:07,2026-05-18 00:29:08
2026-05-18 00:29:13,Short,95154.56,93016.38,2248.262682116904,1061.9740432627082,1061.9740432627082,1111.4358222692802,49.4353187067439,Take Profit,super_bot_proMax,49.461779006571895,15113.61580649336,2026-05-18 00:29:11,2026-05-18 00:29:13
